label,total_appearances,dominant_class,dominant_pct,buildings,buildings_pct,forest,forest_pct,glacier,glacier_pct,mountain,mountain_pct,sea,sea_pct,street,street_pct
Norfolk terrier,1,sea,100.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0
Lhasa,1,sea,100.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0
miniature schnauzer,1,sea,100.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0
banded gecko,1,sea,100.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0
American Staffordshire terrier,1,sea,100.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0
fiddler crab,1,sea,100.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0
ping-pong ball,1,sea,100.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0
maraca,1,sea,100.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0
night snake,1,sea,100.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0
snail,1,sea,100.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0
mixing bowl,1,sea,100.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0
sea snake,1,sea,100.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0
Airedale,1,sea,100.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0
rhinoceros beetle,1,sea,100.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0
ground beetle,1,sea,100.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0
spindle,1,sea,100.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0
Norwich terrier,1,sea,100.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0
snorkel,56,sea,85.71,0,0.0,3,5.36,2,3.57,3,5.36,48,85.71,0,0.0
pirate,59,sea,84.75,0,0.0,1,1.69,5,8.47,0,0.0,50,84.75,3,5.08
redbone,6,sea,83.33,0,0.0,1,16.67,0,0.0,0,0.0,5,83.33,0,0.0
swimming trunks,95,sea,83.16,1,1.05,5,5.26,4,4.21,1,1.05,79,83.16,5,5.26
bikini,38,sea,81.58,0,0.0,2,5.26,3,7.89,0,0.0,31,81.58,2,5.26
reel,14,sea,78.57,0,0.0,2,14.29,1,7.14,0,0.0,11,78.57,0,0.0
dalmatian,9,sea,77.78,0,0.0,0,0.0,0,0.0,2,22.22,7,77.78,0,0.0
cheetah,4,sea,75.0,0,0.0,1,25.0,0,0.0,0,0.0,3,75.0,0,0.0
French bulldog,4,sea,75.0,0,0.0,0,0.0,1,25.0,0,0.0,3,75.0,0,0.0
maillot tank suit,46,sea,73.91,0,0.0,1,2.17,5,10.87,1,2.17,34,73.91,5,10.87
catamaran,103,sea,73.79,8,7.77,0,0.0,18,17.48,0,0.0,76,73.79,1,0.97
volleyball,11,sea,72.73,0,0.0,0,0.0,0,0.0,1,9.09,8,72.73,2,18.18
speedboat,218,sea,72.02,2,0.92,1,0.46,48,22.02,6,2.75,157,72.02,4,1.83
maillot,21,sea,71.43,0,0.0,1,4.76,1,4.76,1,4.76,15,71.43,3,14.29
wreck,208,sea,70.19,3,1.44,2,0.96,37,17.79,12,5.77,146,70.19,8,3.85
sandbar,735,sea,69.66,3,0.41,31,4.22,106,14.42,64,8.71,512,69.66,19,2.59
paddle,132,sea,68.18,0,0.0,8,6.06,13,9.85,17,12.88,90,68.18,4,3.03
lifeboat,91,sea,67.03,2,2.2,0,0.0,24,26.37,3,3.3,61,67.03,1,1.1
trimaran,100,sea,67.0,14,14.0,1,1.0,15,15.0,0,0.0,67,67.0,3,3.0
bathing cap,24,sea,66.67,0,0.0,0,0.0,5,20.83,1,4.17,16,66.67,2,8.33
scuba diver,18,sea,66.67,0,0.0,2,11.11,4,22.22,0,0.0,12,66.67,0,0.0
hyena,3,sea,66.67,0,0.0,1,33.33,0,0.0,0,0.0,2,66.67,0,0.0
standard schnauzer,3,sea,66.67,0,0.0,0,0.0,1,33.33,0,0.0,2,66.67,0,0.0
dining table,6,sea,66.67,0,0.0,2,33.33,0,0.0,0,0.0,4,66.67,0,0.0
Rottweiler,3,sea,66.67,0,0.0,1,33.33,0,0.0,0,0.0,2,66.67,0,0.0
mask,3,sea,66.67,0,0.0,0,0.0,0,0.0,0,0.0,2,66.67,1,33.33
soft-coated wheaten terrier,3,sea,66.67,0,0.0,0,0.0,0,0.0,0,0.0,2,66.67,1,33.33
yawl,74,sea,66.22,3,4.05,1,1.35,20,27.03,1,1.35,49,66.22,0,0.0
schooner,124,sea,66.13,11,8.87,1,0.81,22,17.74,4,3.23,82,66.13,4,3.23
dock,344,sea,62.79,58,16.86,0,0.0,22,6.4,2,0.58,216,62.79,46,13.37
breakwater,510,sea,60.0,23,4.51,4,0.78,128,25.1,21,4.12,306,60.0,28,5.49
grey whale,198,sea,58.59,0,0.0,0,0.0,76,38.38,6,3.03,116,58.59,0,0.0
otter,19,sea,57.89,0,0.0,0,0.0,7,36.84,1,5.26,11,57.89,0,0.0
amphibian,104,sea,57.69,11,10.58,1,0.96,19,18.27,2,1.92,60,57.69,11,10.58
great white shark,80,sea,57.5,0,0.0,0,0.0,29,36.25,4,5.0,46,57.5,1,1.25
Staffordshire bullterrier,7,sea,57.14,0,0.0,2,28.57,1,14.29,0,0.0,4,57.14,0,0.0
hook,7,sea,57.14,0,0.0,0,0.0,2,28.57,0,0.0,4,57.14,1,14.29
German short-haired pointer,7,sea,57.14,0,0.0,3,42.86,0,0.0,0,0.0,4,57.14,0,0.0
Lakeland terrier,9,sea,55.56,0,0.0,0,0.0,0,0.0,1,11.11,5,55.56,3,33.33
seashore,1672,sea,54.84,80,4.78,55,3.29,339,20.28,186,11.12,917,54.84,95,5.68
killer whale,191,sea,53.4,0,0.0,0,0.0,82,42.93,6,3.14,102,53.4,1,0.52
aircraft carrier,115,sea,53.04,12,10.43,0,0.0,21,18.26,1,0.87,61,53.04,20,17.39
gar,37,sea,51.35,0,0.0,6,16.22,7,18.92,4,10.81,19,51.35,1,2.7
coral reef,37,sea,51.35,0,0.0,11,29.73,6,16.22,1,2.7,19,51.35,0,0.0
submarine,216,sea,50.46,18,8.33,2,0.93,58,26.85,5,2.31,109,50.46,24,11.11
hippopotamus,16,sea,50.0,0,0.0,2,12.5,5,31.25,1,6.25,8,50.0,0,0.0
